"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/11/2016 1:00 AM,10.2,0.2,13.1,0.999
1/11/2016 2:00 AM,8.1,0.8,13.0,0.998
1/11/2016 3:00 AM,7.5,4.3,12.7,0.998
1/11/2016 4:00 AM,7.3,2.7,13.0,0.998
1/11/2016 5:00 AM,8.3,-1.5,12.8,0.997
1/11/2016 6:00 AM,16.6,10.1,13.2,0.998
1/11/2016 7:00 AM,12.3,-0.5,13.5,0.998
1/11/2016 8:00 AM,7.2,,14.0,0.998
1/11/2016 9:00 AM,8.9,5.6,14.7,0.999
1/11/2016 10:00 AM,10.3,-0.2,16.0,0.999
1/11/2016 11:00 AM,14.7,9.8,16.8,0.999
1/11/2016 12:00 PM,14.0,6.5,17.5,0.999
1/11/2016 1:00 PM,14.1,13.1,17.5,0.999
1/11/2016 2:00 PM,8.3,7.3,16.5,0.999
1/11/2016 3:00 PM,3.9,-2.4,16.0,0.999
1/11/2016 4:00 PM,5.7,,16.4,0.998
1/11/2016 5:00 PM,9.2,,16.0,0.999
1/11/2016 6:00 PM,15.7,3.3,15.6,0.999
1/11/2016 7:00 PM,11.8,6.7,14.9,1.000
1/11/2016 8:00 PM,14.5,4.9,14.3,1.000
1/11/2016 9:00 PM,7.4,3.9,13.9,1.001
1/11/2016 10:00 PM,16.8,13.6,13.6,1.001
1/11/2016 11:00 PM,9.0,-3.2,13.5,1.001
2/11/2016 12:00 AM,,2.0,13.5,1.001
2/11/2016 1:00 AM,13.6,13.7,13.5,1.001
2/11/2016 2:00 AM,14.7,4.4,13.0,1.000
2/11/2016 3:00 AM,6.1,3.6,12.6,1.000
2/11/2016 4:00 AM,13.4,6.4,11.7,1.000
2/11/2016 5:00 AM,9.7,6.7,12.4,1.001
2/11/2016 6:00 AM,9.1,0.3,12.3,1.002
2/11/2016 7:00 AM,14.8,0.4,13.8,1.002
2/11/2016 8:00 AM,13.3,5.3,14.6,1.002
2/11/2016 9:00 AM,11.4,6.3,15.1,1.003
2/11/2016 10:00 AM,11.7,6.0,15.5,1.003
2/11/2016 11:00 AM,11.7,3.3,16.7,1.003
2/11/2016 12:00 PM,11.2,4.8,18.1,1.003
2/11/2016 1:00 PM,8.4,4.1,18.8,1.003
2/11/2016 2:00 PM,13.6,4.7,17.3,1.003
2/11/2016 3:00 PM,12.7,4.9,17.3,1.002
2/11/2016 4:00 PM,17.1,2.1,17.3,1.002
2/11/2016 5:00 PM,8.4,,17.0,1.001
2/11/2016 6:00 PM,11.6,3.4,16.1,1.001
2/11/2016 7:00 PM,19.2,12.1,15.5,1.002
2/11/2016 8:00 PM,11.7,0.0,14.4,1.003
2/11/2016 9:00 PM,10.2,5.7,14.1,1.003
2/11/2016 10:00 PM,13.5,3.8,13.0,1.003
2/11/2016 11:00 PM,15.6,4.0,12.0,1.003
3/11/2016 12:00 AM,11.9,,11.7,1.003
3/11/2016 1:00 AM,11.0,1.2,11.7,1.003
3/11/2016 2:00 AM,5.8,3.5,11.5,1.003
3/11/2016 3:00 AM,7.5,2.6,11.7,1.002
3/11/2016 4:00 AM,12.3,5.6,11.2,1.002
