Date/Time,PM10 BAM ug/m3,PM2.5 BAM ug/m3,Temperature Deg C,Barometric Pressure atm
1/10/2016 1:00,8.4,12.2,11.4,0.991
1/10/2016 2:00,8.8,9.6,11.3,0.991
1/10/2016 3:00,8.7,2.6,11.3,0.99
1/10/2016 4:00,5.8,5.2,11.2,0.99
1/10/2016 5:00,7.8,,11.4,0.991
1/10/2016 6:00,15.3,16.4,11.6,0.991
1/10/2016 7:00,11.7,2.8,11.8,0.991
1/10/2016 8:00,11.4,4,12.4,0.991
1/10/2016 9:00,11.6,0.6,13.4,0.991
1/10/2016 10:00,9.9,5.5,14.5,0.991
1/10/2016 11:00,6.3,0.2,16.5,0.991
1/10/2016 12:00,10.1,4.5,17.8,0.991
1/10/2016 13:00,12.4,5.4,18.3,0.99
1/10/2016 14:00,9.7,,18.5,0.989
1/10/2016 15:00,10.7,11.1,19.1,0.988
1/10/2016 16:00,23.5,16.7,20.1,0.987
1/10/2016 17:00,18.1,9.4,20.8,0.986
1/10/2016 18:00,11.6,4.8,20.3,0.985
1/10/2016 19:00,14.1,3.1,18.6,0.985
1/10/2016 20:00,13,5.7,18,0.985
1/10/2016 21:00,9.1,7.1,18.8,0.984
1/10/2016 22:00,8.5,2.9,19.9,0.984
1/10/2016 23:00,14.3,5.4,21.1,0.983
2/10/2016 0:00,4.6,,21.5,0.982
2/10/2016 1:00,8.4,3.9,21,0.982
2/10/2016 2:00,6.6,9.3,20.1,0.981
2/10/2016 3:00,10,9.1,18.1,0.98
2/10/2016 4:00,7.8,1.2,17.9,0.979
2/10/2016 5:00,4.5,0.2,18.5,0.979
2/10/2016 6:00,11.4,7.4,17.7,0.979
2/10/2016 7:00,8,3.4,17.4,0.979
2/10/2016 8:00,6.6,-1.3,18.7,0.979
2/10/2016 9:00,8.3,9.8,20.2,0.98
2/10/2016 10:00,16.8,,20.7,0.98
2/10/2016 11:00,18,0,18.1,0.98
2/10/2016 12:00,25.1,10.4,18,0.981
2/10/2016 13:00,23.2,15.7,18.2,0.981
2/10/2016 14:00,13.4,2.5,17.9,0.98
2/10/2016 15:00,12.4,,17.5,0.98
2/10/2016 16:00,,,16.5,0.981
2/10/2016 17:00,17.7,7.5,13.8,0.981
2/10/2016 18:00,9.4,1.5,13.1,0.982
2/10/2016 19:00,15.3,5.4,12.5,0.983
2/10/2016 20:00,26.9,15.2,12.5,0.984
2/10/2016 21:00,20.1,9.2,11.8,0.984
2/10/2016 22:00,18.4,6.1,11.6,0.984
2/10/2016 23:00,19.5,8.2,11.7,0.984
3/10/2016 0:00,,,11.8,0.984
3/10/2016 1:00,12.6,5.4,11.5,0.983
3/10/2016 2:00,12.1,3.5,10.5,0.983
3/10/2016 3:00,21,4.3,8.9,0.982
3/10/2016 4:00,8.4,-0.1,10,0.982
3/10/2016 5:00,14.9,6.7,10.7,0.982
3/10/2016 6:00,14.4,,10.9,0.983
3/10/2016 7:00,16.7,5.5,10.3,0.983
3/10/2016 8:00,9.8,,9.4,0.984
3/10/2016 9:00,7.3,,11.3,0.985
3/10/2016 10:00,13.6,4.6,13.2,0.986
3/10/2016 11:00,23.3,17.6,13.2,0.987
3/10/2016 12:00,27.3,4.4,11.3,0.987
3/10/2016 13:00,13.4,0.2,13.9,0.987
3/10/2016 14:00,18.5,10.8,14.2,0.987
3/10/2016 15:00,33.2,12.8,14.2,0.988
3/10/2016 16:00,28.9,7.6,14.6,0.988
3/10/2016 17:00,22.8,10.7,13,0.989
3/10/2016 18:00,29,13.3,13.6,0.99
3/10/2016 19:00,43,14.1,13.6,0.991
3/10/2016 20:00,29.9,8.6,13.5,0.992
3/10/2016 21:00,20.1,0.3,13.4,0.992
3/10/2016 22:00,15.8,8.5,13.5,0.992
3/10/2016 23:00,26.8,3.2,13.3,0.992
4/10/2016 0:00,23.8,,13.4,0.992
4/10/2016 1:00,31.7,1.2,13.5,0.991
4/10/2016 2:00,27.4,9,13.4,0.991
4/10/2016 3:00,25.3,7.3,13.1,0.99
4/10/2016 4:00,17.1,6,12.9,0.99
4/10/2016 5:00,18.3,3.5,13.1,0.989
4/10/2016 6:00,16.7,5.9,13.4,0.989
4/10/2016 7:00,17.4,10.7,13.4,0.99
4/10/2016 8:00,18.6,10.4,12.4,0.991
4/10/2016 9:00,17.1,5,13.6,0.992
4/10/2016 10:00,20.6,15,14.9,0.993
4/10/2016 11:00,34.1,21.3,15.9,0.993
4/10/2016 12:00,47.9,27.1,15.8,0.995
4/10/2016 13:00,46.6,17.5,15.7,0.996
4/10/2016 14:00,37.7,14.7,15.4,0.996
4/10/2016 15:00,35.6,15.9,14.8,0.997
4/10/2016 16:00,29.5,19.2,14.9,0.997
4/10/2016 17:00,35.5,7.9,14.4,0.998
4/10/2016 18:00,35.5,11.2,14,0.998
4/10/2016 19:00,35.8,17.9,13.4,0.999
4/10/2016 20:00,36.5,10.8,13,0.999
4/10/2016 21:00,31.3,6.1,12.9,1
4/10/2016 22:00,30.7,11.7,12.6,1
4/10/2016 23:00,36.8,8.7,12.2,1
5/10/2016 0:00,36,15,12.2,1
5/10/2016 1:00,29.7,13.3,12,1.001
5/10/2016 2:00,27.9,7,11.3,1
5/10/2016 3:00,30.2,10.5,10.4,1
5/10/2016 4:00,31,14.1,9.7,1
5/10/2016 5:00,24.7,11.6,9.6,1
5/10/2016 6:00,21.3,3.5,9.2,1.001
5/10/2016 7:00,25.2,9.9,8.9,1.001
5/10/2016 8:00,24,15.9,10.6,1.002
5/10/2016 9:00,27.1,12.9,13.4,1.002
5/10/2016 10:00,24.2,9.7,17,1.003
5/10/2016 11:00,31.1,17.5,18.3,1.003
5/10/2016 12:00,31.3,9.3,18.6,1.002
5/10/2016 13:00,33.5,11.8,19.6,1.002
5/10/2016 14:00,25.1,15.2,19.4,1.002
5/10/2016 15:00,19.7,11.5,19.3,1.002
5/10/2016 16:00,13.8,,19.6,1.001
5/10/2016 17:00,10.1,8.3,19.4,1.001
5/10/2016 18:00,14.1,6.5,19,1.001
5/10/2016 19:00,14.4,6.9,17.9,1.001
5/10/2016 20:00,15.3,10.3,17,1.001
5/10/2016 21:00,15.6,4.4,15.6,1.001
